"komentar","cleaned_text","casefolded","tokens","normalized","stopword_removed","stemmed","cleaned","label"
"Warna: Good Daya tahan pakai: Good Aroma: Good","Warna Good Daya tahan pakai Good Aroma Good","warna good daya tahan pakai good aroma good","['warna', 'good', 'daya', 'tahan', 'pakai', 'good', 'aroma', 'good']","['warna', 'good', 'daya', 'tahan', 'pakai', 'good', 'aroma', 'good']","['warna', 'good', 'daya', 'tahan', 'pakai', 'good', 'aroma', 'good']","['warna', 'good', 'daya', 'tahan', 'pakai', 'good', 'aroma', 'good']","warna good daya tahan pakai good aroma good",""
"Barang sesuai dengan apa yang difoto, enteng banget sepatunya","Barang sesuai dengan apa yang difoto enteng banget sepatunya","barang sesuai dengan apa yang difoto enteng banget sepatunya","['barang', 'sesuai', 'dengan', 'apa', 'yang', 'difoto', 'enteng', 'banget', 'sepatunya']","['barang', 'sesuai', 'dengan', 'apa', 'yang', 'difoto', 'enteng', 'banget', 'sepatunya']","['barang', 'sesuai', 'difoto', 'enteng', 'banget', 'sepatunya']","['barang', 'sesuai', 'foto', 'enteng', 'banget', 'sepatu']","barang sesuai foto enteng banget sepatu",""
"Barang bagus , mending jgn kasi kaos kaki kak,","Barang bagus mending jgn kasi kaos kaki kak","barang bagus mending jgn kasi kaos kaki kak","['barang', 'bagus', 'mending', 'jgn', 'kasi', 'kaos', 'kaki', 'kak']","['barang', 'bagus', 'mending', 'jgn', 'kasi', 'kaos', 'kaki', 'kak']","['barang', 'bagus', 'mending', 'jgn', 'kasi', 'kaos', 'kaki', 'kak']","['barang', 'bagus', 'mending', 'jgn', 'kasi', 'kaos', 'kaki', 'kak']","barang bagus mending jgn kasi kaos kaki kak",""
"YAKIN LAH SUMPAH....ORA GOROH PEDAGANGE LURRRR, DIJAMIN ORA NYESELLLL....Cuma laka bonus kaos kakine","YAKIN LAH SUMPAH ORA GOROH PEDAGANGE LURRRR DIJAMIN ORA NYESELLLL Cuma laka bonus kaos kakine","yakin lah sumpah ora goroh pedagange lurrrr dijamin ora nyesellll cuma laka bonus kaos kakine","['yakin', 'lah', 'sumpah', 'ora', 'goroh', 'pedagange', 'lurrrr', 'dijamin', 'ora', 'nyesellll', 'cuma', 'laka', 'bonus', 'kaos', 'kakine']","['yakin', 'lah', 'sumpah', 'ora', 'goroh', 'pedagange', 'lurrrr', 'dijamin', 'ora', 'nyesellll', 'cuma', 'laka', 'bonus', 'kaos', 'kakine']","['sumpah', 'ora', 'goroh', 'pedagange', 'lurrrr', 'dijamin', 'ora', 'nyesellll', 'laka', 'bonus', 'kaos', 'kakine']","['sumpah', 'ora', 'goroh', 'pedagange', 'lurrrr', 'jamin', 'ora', 'nyesellll', 'laka', 'bonus', 'kaos', 'kakine']","sumpah ora goroh pedagange lurrrr jamin ora nyesellll laka bonus kaos kakine",""
"Bagus kurir ramah. Pengiriman sesuai etimasi. Harga pelajar pokoknya bismillah semoga awet","Bagus kurir ramah Pengiriman sesuai etimasi Harga pelajar pokoknya bismillah semoga awet","bagus kurir ramah pengiriman sesuai etimasi harga pelajar pokoknya bismillah semoga awet","['bagus', 'kurir', 'ramah', 'pengiriman', 'sesuai', 'etimasi', 'harga', 'pelajar', 'pokoknya', 'bismillah', 'semoga', 'awet']","['bagus', 'kurir', 'ramah', 'pengiriman', 'sesuai', 'etimasi', 'harga', 'pelajar', 'pokoknya', 'bismillah', 'semoga', 'awet']","['bagus', 'kurir', 'ramah', 'pengiriman', 'sesuai', 'etimasi', 'harga', 'pelajar', 'pokoknya', 'bismillah', 'semoga', 'awet']","['bagus', 'kurir', 'ramah', 'kirim', 'sesuai', 'etimasi', 'harga', 'ajar', 'pokok', 'bismillah', 'moga', 'awet']","bagus kurir ramah kirim sesuai etimasi harga ajar pokok bismillah moga awet",""
"Baru kasih ulasan terimakasih paket sampai sesuai pesanan semua aman dan cepat pengirimannya👍🙏","Baru kasih ulasan terimakasih paket sampai sesuai pesanan semua aman dan cepat pengirimannya","baru kasih ulasan terimakasih paket sampai sesuai pesanan semua aman dan cepat pengirimannya","['baru', 'kasih', 'ulasan', 'terimakasih', 'paket', 'sampai', 'sesuai', 'pesanan', 'semua', 'aman', 'dan', 'cepat', 'pengirimannya']","['baru', 'kasih', 'ulasan', 'terimakasih', 'paket', 'sampai', 'sesuai', 'pesanan', 'semua', 'aman', 'dan', 'cepat', 'pengirimannya']","['kasih', 'ulasan', 'terimakasih', 'paket', 'sesuai', 'pesanan', 'aman', 'cepat', 'pengirimannya']","['kasih', 'ulas', 'terimakasih', 'paket', 'sesuai', 'pesan', 'aman', 'cepat', 'kirim']","kasih ulas terimakasih paket sesuai pesan aman cepat kirim",""
"keren pas sesuai dengan keinginan dan pesanan.. mantap 👍👌","keren pas sesuai dengan keinginan dan pesanan mantap","keren pas sesuai dengan keinginan dan pesanan mantap","['keren', 'pas', 'sesuai', 'dengan', 'keinginan', 'dan', 'pesanan', 'mantap']","['keren', 'pas', 'sesuai', 'dengan', 'keinginan', 'dan', 'pesanan', 'mantap']","['keren', 'pas', 'sesuai', 'pesanan', 'mantap']","['keren', 'pas', 'sesuai', 'pesan', 'mantap']","keren pas sesuai pesan mantap",""
"Barang sampai dengan aman dan sesuai semoga barangnya tahan lamaa","Barang sampai dengan aman dan sesuai semoga barangnya tahan lamaa","barang sampai dengan aman dan sesuai semoga barangnya tahan lamaa","['barang', 'sampai', 'dengan', 'aman', 'dan', 'sesuai', 'semoga', 'barangnya', 'tahan', 'lamaa']","['barang', 'sampai', 'dengan', 'aman', 'dan', 'sesuai', 'semoga', 'barangnya', 'tahan', 'lamaa']","['barang', 'aman', 'sesuai', 'semoga', 'barangnya', 'tahan', 'lamaa']","['barang', 'aman', 'sesuai', 'moga', 'barang', 'tahan', 'lamaa']","barang aman sesuai moga barang tahan lamaa",""
"Sepatu nya bagus dengan harga segitu dpat sepatu sebagus ini next order lagi kurir nya amanah toko nya juga amanah .","Sepatu nya bagus dengan harga segitu dpat sepatu sebagus ini next order lagi kurir nya amanah toko nya juga amanah","sepatu nya bagus dengan harga segitu dpat sepatu sebagus ini next order lagi kurir nya amanah toko nya juga amanah","['sepatu', 'nya', 'bagus', 'dengan', 'harga', 'segitu', 'dpat', 'sepatu', 'sebagus', 'ini', 'next', 'order', 'lagi', 'kurir', 'nya', 'amanah', 'toko', 'nya', 'juga', 'amanah']","['sepatu', 'nya', 'bagus', 'dengan', 'harga', 'segitu', 'dpat', 'sepatu', 'sebagus', 'ini', 'next', 'order', 'lagi', 'kurir', 'nya', 'amanah', 'toko', 'nya', 'juga', 'amanah']","['sepatu', 'bagus', 'harga', 'segitu', 'dpat', 'sepatu', 'sebagus', 'next', 'order', 'kurir', 'amanah', 'toko', 'amanah']","['sepatu', 'bagus', 'harga', 'segitu', 'dpat', 'sepatu', 'bagus', 'next', 'order', 'kurir', 'amanah', 'toko', 'amanah']","sepatu bagus harga segitu dpat sepatu bagus next order kurir amanah toko amanah",""
"Paket sudah sampai dengan aman, sesuai dengan harga... terima kasih tokonya amanah 🙏","Paket sudah sampai dengan aman sesuai dengan harga terima kasih tokonya amanah","paket sudah sampai dengan aman sesuai dengan harga terima kasih tokonya amanah","['paket', 'sudah', 'sampai', 'dengan', 'aman', 'sesuai', 'dengan', 'harga', 'terima', 'kasih', 'tokonya', 'amanah']","['paket', 'sudah', 'sampai', 'dengan', 'aman', 'sesuai', 'dengan', 'harga', 'terima', 'kasih', 'tokonya', 'amanah']","['paket', 'aman', 'sesuai', 'harga', 'terima', 'kasih', 'tokonya', 'amanah']","['paket', 'aman', 'sesuai', 'harga', 'terima', 'kasih', 'toko', 'amanah']","paket aman sesuai harga terima kasih toko amanah",""
"Nilai sendiri aja","Nilai sendiri aja","nilai sendiri aja","['nilai', 'sendiri', 'aja']","['nilai', 'sendiri', 'aja']","['nilai', 'aja']","['nilai', 'aja']","nilai aja",""
"keren desainnya harganya worth it dengan sepatunya","keren desainnya harganya worth it dengan sepatunya","keren desainnya harganya worth it dengan sepatunya","['keren', 'desainnya', 'harganya', 'worth', 'it', 'dengan', 'sepatunya']","['keren', 'desainnya', 'harganya', 'worth', 'it', 'dengan', 'sepatunya']","['keren', 'desainnya', 'harganya', 'worth', 'it', 'sepatunya']","['keren', 'desain', 'harga', 'worth', 'it', 'sepatu']","keren desain harga worth it sepatu",""
"Sudah langganan di toko ini. Gak pernah gagal pkoknha 🤘🤘👍👍","Sudah langganan di toko ini Gak pernah gagal pkoknha","sudah langganan di toko ini gak pernah gagal pkoknha","['sudah', 'langganan', 'di', 'toko', 'ini', 'gak', 'pernah', 'gagal', 'pkoknha']","['sudah', 'langganan', 'di', 'toko', 'ini', 'tidak', 'pernah', 'gagal', 'pkoknha']","['langganan', 'toko', 'gagal', 'pkoknha']","['langgan', 'toko', 'gagal', 'pkoknha']","langgan toko gagal pkoknha",""
"untuk barang nya bagus 👍 pokonya keren","untuk barang nya bagus pokonya keren","untuk barang nya bagus pokonya keren","['untuk', 'barang', 'nya', 'bagus', 'pokonya', 'keren']","['untuk', 'barang', 'nya', 'bagus', 'pokonya', 'keren']","['barang', 'bagus', 'pokonya', 'keren']","['barang', 'bagus', 'poko', 'keren']","barang bagus poko keren",""
"Alhamdulillah, jakpod😃 barang sesuai expetasi 👍","Alhamdulillah jakpod barang sesuai expetasi","alhamdulillah jakpod barang sesuai expetasi","['alhamdulillah', 'jakpod', 'barang', 'sesuai', 'expetasi']","['alhamdulillah', 'jakpod', 'barang', 'sesuai', 'ekspektasi']","['alhamdulillah', 'jakpod', 'barang', 'sesuai', 'ekspektasi']","['alhamdulillah', 'jakpod', 'barang', 'sesuai', 'ekspektasi']","alhamdulillah jakpod barang sesuai ekspektasi",""
"Mantap,, keren abis .. sesui pic .. kurir ramah ..","Mantap keren abis sesui pic kurir ramah","mantap keren abis sesui pic kurir ramah","['mantap', 'keren', 'abis', 'sesui', 'pic', 'kurir', 'ramah']","['mantap', 'keren', 'abis', 'sesui', 'pic', 'kurir', 'ramah']","['mantap', 'keren', 'abis', 'sesui', 'pic', 'kurir', 'ramah']","['mantap', 'keren', 'abis', 'sesui', 'pic', 'kurir', 'ramah']","mantap keren abis sesui pic kurir ramah",""
"Mantap sesuai poto Terima kasih sdh dtang tepat waktu","Mantap sesuai poto Terima kasih sdh dtang tepat waktu","mantap sesuai poto terima kasih sdh dtang tepat waktu","['mantap', 'sesuai', 'poto', 'terima', 'kasih', 'sdh', 'dtang', 'tepat', 'waktu']","['mantap', 'sesuai', 'poto', 'terima', 'kasih', 'sudah', 'dtang', 'tepat', 'waktu']","['mantap', 'sesuai', 'poto', 'terima', 'kasih', 'dtang', 'waktu']","['mantap', 'sesuai', 'poto', 'terima', 'kasih', 'dtang', 'waktu']","mantap sesuai poto terima kasih dtang waktu",""
"sepatu nya nyaman dipakai enak bangett","sepatu nya nyaman dipakai enak bangett","sepatu nya nyaman dipakai enak bangett","['sepatu', 'nya', 'nyaman', 'dipakai', 'enak', 'bangett']","['sepatu', 'nya', 'nyaman', 'dipakai', 'enak', 'bangett']","['sepatu', 'nyaman', 'dipakai', 'bangett']","['sepatu', 'nyaman', 'pakai', 'bangett']","sepatu nyaman pakai bangett",""
"Terima kasih banyak, sepatunya sangat bagus","Terima kasih banyak sepatunya sangat bagus","terima kasih banyak sepatunya sangat bagus","['terima', 'kasih', 'banyak', 'sepatunya', 'sangat', 'bagus']","['terima', 'kasih', 'banyak', 'sepatunya', 'sangat', 'bagus']","['terima', 'kasih', 'sepatunya', 'bagus']","['terima', 'kasih', 'sepatu', 'bagus']","terima kasih sepatu bagus",""
"Barang sesuai dengan gambar. Mantap Jiwa...","Barang sesuai dengan gambar Mantap Jiwa","barang sesuai dengan gambar mantap jiwa","['barang', 'sesuai', 'dengan', 'gambar', 'mantap', 'jiwa']","['barang', 'sesuai', 'dengan', 'gambar', 'mantap', 'jiwa']","['barang', 'sesuai', 'gambar', 'mantap', 'jiwa']","['barang', 'sesuai', 'gambar', 'mantap', 'jiwa']","barang sesuai gambar mantap jiwa",""
"Bagus mayan lah sesuai sama yg di pesen poko nya mantap","Bagus mayan lah sesuai sama yg di pesen poko nya mantap","bagus mayan lah sesuai sama yg di pesen poko nya mantap","['bagus', 'mayan', 'lah', 'sesuai', 'sama', 'yg', 'di', 'pesen', 'poko', 'nya', 'mantap']","['bagus', 'mayan', 'lah', 'sesuai', 'sama', 'yang', 'di', 'pesen', 'poko', 'nya', 'mantap']","['bagus', 'mayan', 'sesuai', 'pesen', 'poko', 'mantap']","['bagus', 'mayan', 'sesuai', 'sen', 'poko', 'mantap']","bagus mayan sesuai sen poko mantap",""
"keren sepatunya empuk bngt enak di pake","keren sepatunya empuk bngt enak di pake","keren sepatunya empuk bngt enak di pake","['keren', 'sepatunya', 'empuk', 'bngt', 'enak', 'di', 'pake']","['keren', 'sepatunya', 'empuk', 'bngt', 'enak', 'di', 'pake']","['keren', 'sepatunya', 'empuk', 'bngt', 'pake']","['keren', 'sepatu', 'empuk', 'bngt', 'pake']","keren sepatu empuk bngt pake",""
"Barang sudah sampai dan sesuai dengan pesanan next order lagi ke toko ini 👍 sangat memuaskan 👍","Barang sudah sampai dan sesuai dengan pesanan next order lagi ke toko ini sangat memuaskan","barang sudah sampai dan sesuai dengan pesanan next order lagi ke toko ini sangat memuaskan","['barang', 'sudah', 'sampai', 'dan', 'sesuai', 'dengan', 'pesanan', 'next', 'order', 'lagi', 'ke', 'toko', 'ini', 'sangat', 'memuaskan']","['barang', 'sudah', 'sampai', 'dan', 'sesuai', 'dengan', 'pesanan', 'next', 'order', 'lagi', 'ke', 'toko', 'ini', 'sangat', 'memuaskan']","['barang', 'sesuai', 'pesanan', 'next', 'order', 'toko', 'memuaskan']","['barang', 'sesuai', 'pesan', 'next', 'order', 'toko', 'muas']","barang sesuai pesan next order toko muas",""
"Ok siip semoga awet dan kuat terima kasih semuanya.","Ok siip semoga awet dan kuat terima kasih semuanya","ok siip semoga awet dan kuat terima kasih semuanya","['ok', 'siip', 'semoga', 'awet', 'dan', 'kuat', 'terima', 'kasih', 'semuanya']","['oke', 'siip', 'semoga', 'awet', 'dan', 'kuat', 'terima', 'kasih', 'semuanya']","['oke', 'siip', 'semoga', 'awet', 'kuat', 'terima', 'kasih']","['oke', 'siip', 'moga', 'awet', 'kuat', 'terima', 'kasih']","oke siip moga awet kuat terima kasih",""
"Bagus sekali🔥🔥","Bagus sekali","bagus sekali","['bagus', 'sekali']","['bagus', 'sekali']","['bagus']","['bagus']","bagus",""
"Barang bagus banget tidak mengecewakan","Barang bagus banget tidak mengecewakan","barang bagus banget tidak mengecewakan","['barang', 'bagus', 'banget', 'tidak', 'mengecewakan']","['barang', 'bagus', 'banget', 'tidak', 'mengecewakan']","['barang', 'bagus', 'banget', 'mengecewakan']","['barang', 'bagus', 'banget', 'kecewa']","barang bagus banget kecewa",""
"Barang nya sesuai, trimakasih 🙏🏻☺️","Barang nya sesuai trimakasih","barang nya sesuai trimakasih","['barang', 'nya', 'sesuai', 'trimakasih']","['barang', 'nya', 'sesuai', 'trimakasih']","['barang', 'sesuai', 'trimakasih']","['barang', 'sesuai', 'trimakasih']","barang sesuai trimakasih",""
"Sepatu nya bagus bahanya juga bagus","Sepatu nya bagus bahanya juga bagus","sepatu nya bagus bahanya juga bagus","['sepatu', 'nya', 'bagus', 'bahanya', 'juga', 'bagus']","['sepatu', 'nya', 'bagus', 'bahanya', 'juga', 'bagus']","['sepatu', 'bagus', 'bahanya', 'bagus']","['sepatu', 'bagus', 'bahanya', 'bagus']","sepatu bagus bahanya bagus",""
"Barang sesuai pengiriman cepat","Barang sesuai pengiriman cepat","barang sesuai pengiriman cepat","['barang', 'sesuai', 'pengiriman', 'cepat']","['barang', 'sesuai', 'pengiriman', 'cepat']","['barang', 'sesuai', 'pengiriman', 'cepat']","['barang', 'sesuai', 'kirim', 'cepat']","barang sesuai kirim cepat",""
"Not bad lah, sesuai harga dan pict","Not bad lah sesuai harga dan pict","not bad lah sesuai harga dan pict","['not', 'bad', 'lah', 'sesuai', 'harga', 'dan', 'pict']","['not', 'bad', 'lah', 'sesuai', 'harga', 'dan', 'pict']","['not', 'bad', 'sesuai', 'harga', 'pict']","['not', 'bad', 'sesuai', 'harga', 'pict']","not bad sesuai harga pict",""
"Ok bagus Cuma sama pesan warna abu yg datang malah warna biru","Ok bagus Cuma sama pesan warna abu yg datang malah warna biru","ok bagus cuma sama pesan warna abu yg datang malah warna biru","['ok', 'bagus', 'cuma', 'sama', 'pesan', 'warna', 'abu', 'yg', 'datang', 'malah', 'warna', 'biru']","['oke', 'bagus', 'cuma', 'sama', 'pesan', 'warna', 'abu', 'yang', 'datang', 'malah', 'warna', 'biru']","['oke', 'bagus', 'pesan', 'warna', 'abu', 'warna', 'biru']","['oke', 'bagus', 'pesan', 'warna', 'abu', 'warna', 'biru']","oke bagus pesan warna abu warna biru",""
"Bagus, sesuai harga. Tapi mantap","Bagus sesuai harga Tapi mantap","bagus sesuai harga tapi mantap","['bagus', 'sesuai', 'harga', 'tapi', 'mantap']","['bagus', 'sesuai', 'harga', 'tapi', 'mantap']","['bagus', 'sesuai', 'harga', 'mantap']","['bagus', 'sesuai', 'harga', 'mantap']","bagus sesuai harga mantap",""
"Bentuk dan ukuran: Bagus Daya tahan pakai: Kayaknya awet, masih blom di pakai","Bentuk dan ukuran Bagus Daya tahan pakai Kayaknya awet masih blom di pakai","bentuk dan ukuran bagus daya tahan pakai kayaknya awet masih blom di pakai","['bentuk', 'dan', 'ukuran', 'bagus', 'daya', 'tahan', 'pakai', 'kayaknya', 'awet', 'masih', 'blom', 'di', 'pakai']","['bentuk', 'dan', 'ukuran', 'bagus', 'daya', 'tahan', 'pakai', 'kayaknya', 'awet', 'masih', 'blom', 'di', 'pakai']","['bentuk', 'ukuran', 'bagus', 'daya', 'tahan', 'pakai', 'kayaknya', 'awet', 'blom', 'pakai']","['bentuk', 'ukur', 'bagus', 'daya', 'tahan', 'pakai', 'kayak', 'awet', 'blom', 'pakai']","bentuk ukur bagus daya tahan pakai kayak awet blom pakai",""
"Motip bagus tapi bahan nya aja ada yang bekas ngepres nya kurang jadi ada bolong kecil kaya bekas gelembung","Motip bagus tapi bahan nya aja ada yang bekas ngepres nya kurang jadi ada bolong kecil kaya bekas gelembung","motip bagus tapi bahan nya aja ada yang bekas ngepres nya kurang jadi ada bolong kecil kaya bekas gelembung","['motip', 'bagus', 'tapi', 'bahan', 'nya', 'aja', 'ada', 'yang', 'bekas', 'ngepres', 'nya', 'kurang', 'jadi', 'ada', 'bolong', 'kecil', 'kaya', 'bekas', 'gelembung']","['motip', 'bagus', 'tapi', 'bahan', 'nya', 'aja', 'ada', 'yang', 'bekas', 'ngepres', 'nya', 'kurang', 'jadi', 'ada', 'bolong', 'kecil', 'kaya', 'bekas', 'gelembung']","['motip', 'bagus', 'bahan', 'aja', 'bekas', 'ngepres', 'bolong', 'kaya', 'bekas', 'gelembung']","['motip', 'bagus', 'bahan', 'aja', 'bekas', 'ngepres', 'bolong', 'kaya', 'bekas', 'gelembung']","motip bagus bahan aja bekas ngepres bolong kaya bekas gelembung",""
"Bentuk dan ukuran: bagus dan sesuai Daya tahan pakai: kuat Warna: sesuai","Bentuk dan ukuran bagus dan sesuai Daya tahan pakai kuat Warna sesuai","bentuk dan ukuran bagus dan sesuai daya tahan pakai kuat warna sesuai","['bentuk', 'dan', 'ukuran', 'bagus', 'dan', 'sesuai', 'daya', 'tahan', 'pakai', 'kuat', 'warna', 'sesuai']","['bentuk', 'dan', 'ukuran', 'bagus', 'dan', 'sesuai', 'daya', 'tahan', 'pakai', 'kuat', 'warna', 'sesuai']","['bentuk', 'ukuran', 'bagus', 'sesuai', 'daya', 'tahan', 'pakai', 'kuat', 'warna', 'sesuai']","['bentuk', 'ukur', 'bagus', 'sesuai', 'daya', 'tahan', 'pakai', 'kuat', 'warna', 'sesuai']","bentuk ukur bagus sesuai daya tahan pakai kuat warna sesuai",""
"Jos mantap pokonya cepet juga datengnya 1 hari😁","Jos mantap pokonya cepet juga datengnya 1 hari","jos mantap pokonya cepet juga datengnya 1 hari","['jos', 'mantap', 'pokonya', 'cepet', 'juga', 'datengnya', '1', 'hari']","['jos', 'mantap', 'pokonya', 'cepet', 'juga', 'datengnya', '1', 'hari']","['jos', 'mantap', 'pokonya', 'cepet', 'datengnya', '1']","['jos', 'mantap', 'poko', 'cepet', 'datengnya', '1']","jos mantap poko cepet datengnya 1",""
"Hoka Abuabu Kuning Bentuk dan ukuran: Bagus,41 Aroma: Lem Daya tahan pakai: semoga 4 tahunan","Hoka Abuabu Kuning Bentuk dan ukuran Bagus 41 Aroma Lem Daya tahan pakai semoga 4 tahunan","hoka abuabu kuning bentuk dan ukuran bagus 41 aroma lem daya tahan pakai semoga 4 tahunan","['hoka', 'abuabu', 'kuning', 'bentuk', 'dan', 'ukuran', 'bagus', '41', 'aroma', 'lem', 'daya', 'tahan', 'pakai', 'semoga', '4', 'tahunan']","['hoka', 'abuabu', 'kuning', 'bentuk', 'dan', 'ukuran', 'bagus', '41', 'aroma', 'lem', 'daya', 'tahan', 'pakai', 'semoga', '4', 'tahunan']","['hoka', 'abuabu', 'kuning', 'bentuk', 'ukuran', 'bagus', '41', 'aroma', 'lem', 'daya', 'tahan', 'pakai', 'semoga', '4', 'tahunan']","['hoka', 'abuabu', 'kuning', 'bentuk', 'ukur', 'bagus', '41', 'aroma', 'lem', 'daya', 'tahan', 'pakai', 'moga', '4', 'tahun']","hoka abuabu kuning bentuk ukur bagus 41 aroma lem daya tahan pakai moga 4 tahun",""
"Sepatu ini sangat bagus bahanya yg bagus dan soulnya yg empuk dan lem yg kuat recommended banged deh bagi yg mau bli sepatu tapi Masi ragu""","Sepatu ini sangat bagus bahanya yg bagus dan soulnya yg empuk dan lem yg kuat recommended banged deh bagi yg mau bli sepatu tapi Masi ragu","sepatu ini sangat bagus bahanya yg bagus dan soulnya yg empuk dan lem yg kuat recommended banged deh bagi yg mau bli sepatu tapi masi ragu","['sepatu', 'ini', 'sangat', 'bagus', 'bahanya', 'yg', 'bagus', 'dan', 'soulnya', 'yg', 'empuk', 'dan', 'lem', 'yg', 'kuat', 'recommended', 'banged', 'deh', 'bagi', 'yg', 'mau', 'bli', 'sepatu', 'tapi', 'masi', 'ragu']","['sepatu', 'ini', 'sangat', 'bagus', 'bahanya', 'yang', 'bagus', 'dan', 'soulnya', 'yang', 'empuk', 'dan', 'lem', 'yang', 'kuat', 'recommended', 'banged', 'deh', 'bagi', 'yang', 'mau', 'bli', 'sepatu', 'tapi', 'masi', 'ragu']","['sepatu', 'bagus', 'bahanya', 'bagus', 'soulnya', 'empuk', 'lem', 'kuat', 'recommended', 'banged', 'deh', 'bli', 'sepatu', 'masi', 'ragu']","['sepatu', 'bagus', 'bahanya', 'bagus', 'soulnya', 'empuk', 'lem', 'kuat', 'recommended', 'banged', 'deh', 'bli', 'sepatu', 'mas', 'ragu']","sepatu bagus bahanya bagus soulnya empuk lem kuat recommended banged deh bli sepatu mas ragu",""
"Bentuk dan ukuran: Ukuran 41 ternyata di saya pas kirain aga besar tpi gapapa Warna: Sesuai yg di pesan","Bentuk dan ukuran Ukuran 41 ternyata di saya pas kirain aga besar tpi gapapa Warna Sesuai yg di pesan","bentuk dan ukuran ukuran 41 ternyata di saya pas kirain aga besar tpi gapapa warna sesuai yg di pesan","['bentuk', 'dan', 'ukuran', 'ukuran', '41', 'ternyata', 'di', 'saya', 'pas', 'kirain', 'aga', 'besar', 'tpi', 'gapapa', 'warna', 'sesuai', 'yg', 'di', 'pesan']","['bentuk', 'dan', 'ukuran', 'ukuran', '41', 'ternyata', 'di', 'saya', 'pas', 'kirain', 'aga', 'besar', 'tpi', 'gapapa', 'warna', 'sesuai', 'yang', 'di', 'pesan']","['bentuk', 'ukuran', 'ukuran', '41', 'pas', 'kirain', 'aga', 'tpi', 'gapapa', 'warna', 'sesuai', 'pesan']","['bentuk', 'ukur', 'ukur', '41', 'pas', 'kirain', 'aga', 'tpi', 'gapapa', 'warna', 'sesuai', 'pesan']","bentuk ukur ukur 41 pas kirain aga tpi gapapa warna sesuai pesan",""
"Semoga nyaman di pakai buat jogging","Semoga nyaman di pakai buat jogging","semoga nyaman di pakai buat jogging","['semoga', 'nyaman', 'di', 'pakai', 'buat', 'jogging']","['semoga', 'nyaman', 'di', 'pakai', 'buat', 'jogging']","['semoga', 'nyaman', 'pakai', 'jogging']","['moga', 'nyaman', 'pakai', 'jogging']","moga nyaman pakai jogging",""
"Pesanan Sudah Mendarat Dengan Baik Dan Sesuai Yg Dipesan. Terimakasih....","Pesanan Sudah Mendarat Dengan Baik Dan Sesuai Yg Dipesan Terimakasih","pesanan sudah mendarat dengan baik dan sesuai yg dipesan terimakasih","['pesanan', 'sudah', 'mendarat', 'dengan', 'baik', 'dan', 'sesuai', 'yg', 'dipesan', 'terimakasih']","['pesanan', 'sudah', 'mendarat', 'dengan', 'baik', 'dan', 'sesuai', 'yang', 'dipesan', 'terimakasih']","['pesanan', 'mendarat', 'sesuai', 'dipesan', 'terimakasih']","['pesan', 'darat', 'sesuai', 'pes', 'terimakasih']","pesan darat sesuai pes terimakasih",""
"Bentuk dan ukuran: All Good","Bentuk dan ukuran All Good","bentuk dan ukuran all good","['bentuk', 'dan', 'ukuran', 'all', 'good']","['bentuk', 'dan', 'ukuran', 'all', 'good']","['bentuk', 'ukuran', 'all', 'good']","['bentuk', 'ukur', 'all', 'good']","bentuk ukur all good",""
"Sepatu enak dipakai sangat nyaman dikaki ukuran pas banget","Sepatu enak dipakai sangat nyaman dikaki ukuran pas banget","sepatu enak dipakai sangat nyaman dikaki ukuran pas banget","['sepatu', 'enak', 'dipakai', 'sangat', 'nyaman', 'dikaki', 'ukuran', 'pas', 'banget']","['sepatu', 'enak', 'dipakai', 'sangat', 'nyaman', 'dikaki', 'ukuran', 'pas', 'banget']","['sepatu', 'dipakai', 'nyaman', 'dikaki', 'ukuran', 'pas', 'banget']","['sepatu', 'pakai', 'nyaman', 'kaki', 'ukur', 'pas', 'banget']","sepatu pakai nyaman kaki ukur pas banget",""
"Barang sudah sampek, bagus mantab deh pokoknya, cuman lem sollnya aja agak ngelus bagian samping depan tapi gpp aman aman aja","Barang sudah sampek bagus mantab deh pokoknya cuman lem sollnya aja agak ngelus bagian samping depan tapi gpp aman aman aja","barang sudah sampek bagus mantab deh pokoknya cuman lem sollnya aja agak ngelus bagian samping depan tapi gpp aman aman aja","['barang', 'sudah', 'sampek', 'bagus', 'mantab', 'deh', 'pokoknya', 'cuman', 'lem', 'sollnya', 'aja', 'agak', 'ngelus', 'bagian', 'samping', 'depan', 'tapi', 'gpp', 'aman', 'aman', 'aja']","['barang', 'sudah', 'sampek', 'bagus', 'mantab', 'deh', 'pokoknya', 'cuman', 'lem', 'sollnya', 'aja', 'agak', 'ngelus', 'bagian', 'samping', 'depan', 'tapi', 'gpp', 'aman', 'aman', 'aja']","['barang', 'sampek', 'bagus', 'mantab', 'deh', 'pokoknya', 'cuman', 'lem', 'sollnya', 'aja', 'ngelus', 'samping', 'gpp', 'aman', 'aman', 'aja']","['barang', 'sampek', 'bagus', 'mantab', 'deh', 'pokok', 'cuman', 'lem', 'sollnya', 'aja', 'ngelus', 'samping', 'gpp', 'aman', 'aman', 'aja']","barang sampek bagus mantab deh pokok cuman lem sollnya aja ngelus samping gpp aman aman aja",""
